titre,nb-chapitre
Martial Peak,1081
The Ghostly Doctor (Novel),757
Bai Lian Cheng Shen,610
Rebirth of the Urban Immortal Cultivator,601
Star Martial God Technique,569
Martial Master,549
Martial Arts Reigns,532
Karate Shoukoushi Kohinata Minoru,500
God of Martial Arts,458
I Have a Dragon in My Body,452
The God of High school,450
The Ghostly Doctor,349
Magic emperor,335
Eternal Reverence,329
I'm the Great Immortal,316
The Girls of the Wild's,260
Above All Gods,240
Gosu,234
Mujang,229
Dragon King Of The World,223
The Breaker: New Waves,202
The Strongest God King,198
Library of Heaven’s Path,194
Holy Ancestor,190
Id The Greatest Fusion Fantasy,188
Holyland,182
The Legendary Moonlight Sculptor,171
Strongest Abandoned Son,171
Almighty Master,162
Mo Dao Zu Shi,156
Immortal Swordsman in The Reverse World,149
The Immortal Emperor Luo Wuji Has Returned,147
Kengan Omega,144
Cang Qiong Bang Zhi Shengling Ji,143
Soul Cartel,138
Everlasting God of Sword,134
Tian Jiang Xian Shu Nan,134
Divine spirit martial emperor,134
Wo Jia Dashi Xiong Naozi You Keng,133
The Hunter,133
Shibatora,132
Yuan Zun,131
I am an invincible genius,130
Peerless Alchemist,124
Battle Through the Heavens Prequel - The Legend of Yao Lao,122
Goddess's Personal Doctor,121
Dominating The Country,117
Just Want to Pamper You,117
Guang Zhi Zi,114
A Post-Apocalyptic Journey,112
San Sheng San Shi Shi Li Tao Hua,111
Invincible Sword Domain,111
Märchen - The Embodiment of Tales,110
Tsuki no Shippo,105
Trinity Wonder,104
Chronicles of Heavenly Demon,103
Batuque,102
Change Guy,98
Abyss Domination (Novel),97
Wu Dong Qian Kun,96
The Scholar's Reincarnation,96
The Constellation That Returned From Hell,95
Tian Zhu Bian,95
Crazy Girl Shin Bia,94
Rebirth of the Earth Immortal Venerable,93
Solo Spell Caster,93
I Shall Seal the Heavens,91
Martial God Asura,90
Dragon Son-In-Law War God,90
Guide for A Princess-To-Be,90
Shen Yi Di Nu,90
Tian Long Ba Bu,89
Strongest Caveman,88
Tale of a Scribe Who Retires to the Countryside,85
Bodyguard of the Goddess,84
Dragon Ball Zeroverse,84
Gu Daoist Master,84
Indestructible Primordial Spirit,84
Feng Shen Ji,82
Against the Gods,81
Return Of Immortal Emperor,81
One Punch Man,81
Revenge of a Fierce Princess,77
Super Cube,77
Grappler Baki,77
Queen of Poison,76
Immortal Weakling,76
Rebirth: City Deity,75
Battle Through the Heavens : Return of the Beasts,74
Esprit Martial : l'Épée,74
Memoir Of The King Of War,72
The returns of the mount Hua sect,72
Nés pour Cogner,72
The Breaker,72
LIGHTNING DEGREE,72
I'm Berserk to Upgrade,70
Metropolitan System,70
Kurogane,70
One Punch-Man (ONE),70
Swordmaster’s Youngest Son,68
Zippy Ziggy,68
I Might Be A Fake Cultivator,67
My Way Of Killing Gods In Another World,67
Rise of The Demon King,67
Martial God's Space,67
Supreme Demon,65
Heavenly Demon Instructor,63
Pounding,63
Karate Shoukoushi Monogatari,63
Martial King's Retired Life,62
Nidome no Jinsei wo Isekai de,61
Yawara!,61
Hagure Idol Jigokuhen,61
Aiki-S,61
Descent of the Phoenix - 13 Years Old Princess Consort,60
Shadow Hack,60
The Unparalleled Eternal Arts,59
The Treasured Sakura Tome,59
Son-in-Law Above Them All,58
Akame no Unmei,58
Meng Shi Zai Shang,58
Kengan Ashura,57
Rebirth of the Urban Immortal Emperor,57
Barbarian Quest,57
Saiyuuki,57
My Evil Doctor Wife,57
Reincarnation of the Murim Clan’s Former Ranker,56
Angel Densetsu,56
Kurogane no Valhallian,55
Reaper of the Drifting Moon,55
I am the Precious Daughter of the Greatest Villain in the Fantasy World,55
Worthless Regression,55
Zui Wu Dao,55
The Descent of the Demonic Master,54
"After Transformation, Mine and Her Wild Fantasy",54
Standard of Reincarnation,54
Virtual World: Close Combat Mage,53
Spirit Sword Sovereign,52
Un cultivateur contre la société des héros,51
Feng Ni Tian Xia,51
God Among Men,50
The Waste Female Demon God,50
Tokiwa Kitareri!!,50
Max Level Returner,50
The Hero Returns,50
Paladin,50
Legendary Youngest Son of the Marquis House,50
Hunter x Hunter,50
The Dungeon Master,50
"Without a Daoist Partner, I Will die !",50
Yeon Lok Heun,48
Dragons Rioting,48
6 Worlds of Cultivation,48
Xian Ni,47
Nine-Yang Emperor,47
Peerlessly Carefree,47
Return to Earth to be a God,46
The Portal of Wonderland,46
Shadow Emperor,45
Worlds' Apocalypse Online,45
Douluo Dalu,45
Record Of The War God,44
"Star Instructor, Master Baek",44
Wanliao Ah! Nvdi De Ruan Fan Zhangfu Juran Wudi,44
Return of the Reborn God Emperor,44
"In the Night Consumed by Blades, I Walk",44
The Sword of Emperor,44
I Was Trash,44
One Sword Reigns Supreme,43
Douluo Dalu 4 - Zhongji Douluo,43
My disciples are super gods,43
Black-Box,42
Chaotic Sword God,42
Strongest Fighter,42
"Don't Mess With Me, Miss",42
Dragon Throne,42
Anti Gods Dragon System,41
Dragon Vessel Martial God,41
Wortenia Senki,41
Rooftop Sword Master,41
Ultimate Soldier,41
Dragon Ball Super,41
Star Rank Hunter (Novel),40
Teito Seihai Kitan Fate/type Redline,40
Yi Nian Yong Heng (Novel),40
Azumi,39
Tokyo Crazy Paradise,39
Murim Login,38
Greatest Boss System,38
Metropolis Killing Arrogant Immortals,38
Second Life Ranker (Novel),38
The Missing Gate,38
Becoming a God by Myself,38
Doctor’s Rebirth,37
Heavenly God Mnemonic,37
Saiyuuki Gaiden,37
Red Lion,37
Reverse Villain,36
Tianbao Fuyao Lu,36
God of the City,36
Imprisoned One Million Years: My Disciples Are All Over The World,36
U Kill I Cook,36
Le rêve des trois Royaumes,35
The Knight of Embers,35
Rebirth of Abandoned Young Master,35
Return of the Invincible Patriarch,35
Record of Return,35
Heaven's Official Blessing,35
Legend of the Tyrant Empress,35
Banished Disciple's Counterattack,35
Spirit Blade Mountain,34
I'm an Overlord,34
I Stand Above The Heavens,34
Devouring Eternity,34
Vanguard,34
List of the Villains,34
The Heavenly Demon Destroys the Lich King’s Murim,33
Lord of the Universe,33
Ending Maker,33
Miss Miracle,32
First Rate Master,32
Martial Arts of Demonic Humans,32
How to Be God,32
Majo Taisen 32-nin no Isai no Majo wa Koroshiau,31
Ruling a Planet,31
Path of the Sword,31
Born to be a GOD,31
Light vs Shadow,31
Supreme Mad Emperor System,30
I'm the Evil Lord of an Intergalactic Empire!,30
I have Nine Female Disciples,29
Pupillary Master,29
A Legend Of The Wind,29
Zen Martial Arts Academy,29
Youngest Son of the NamGung Clan,28
Cultivating Immortality Requires a Rich Woman,28
Chongsa,28
Severed Head,28
Emperor Ling Tian,27
Heaven Defying Sword,27
Study Group,27
Dragon Master,27
Jun Mian Shi Tao Hua,27
Doll-Kara,26
Dominate the Three Realms,26
Heavenly Sword's Grand Saga,26
The Flower that was bloomed by a cloud,26
Worlds' Apocalypse Online (Novel),26
Chaos Alchemist,26
Action idols,25
Ultimate Legend - Kang Hae Hyo,25
Descending The Mountain As Invincible,25
"If I Don’t Die Soon, I’ll Really Become Invincible !",25
Isekai Shihai no Skill Taker : Zero kara Hajimeru Dorei Harem,25
Samurai High School,25
Record of The Mightiest Lord,25
Barbarian Quest (Novel),25
Sengoku Strays,24
Greatest Sword Immortal,24
Heavenly Inquisition Sword,24
Becoming a God by Teaching Six Sisters,24
Martial Legacy,24
The Bully in Charge,23
Bowblade Spirit,23
Flawless Metropolitan Divine Emperor,23
Fighting Spirit Mainland,23
Global martial arts,23
Eternal Kingdom,23
Road to the Kingdom Slave Swordsman the Rise of Heroes - Harem Life,23
The Queen Of Killers,23
Vengeful Venomous Consort,23
Double Arts,23
Desolate Era,22
Tenkaichi - Nihon Saikyou Bugeisha Ketteisen,21
Heavenly Demon Cultivation Simulation,21
Tail Star,21
Heaven Guards,21
Break The World,21
Matchless Emperor,21
Tiji-kun!,21
ZINGNIZE,21
Valkyrie Apocalypse,21
"My Harem Grew So Large, I Was Forced to Ascend",21
The Ride-On King,21
Wo De Tudi Dou Shi Da Fanpai,20
Lv999 no Murabito,20
Immortal Cultivation Do-Over,20
Hitogatana,20
Gun x Clover,20
Hanza Sky,20
Talented Genius,20
ReMember,20
Black Dog,20
Swallowed Star (Novel),20
Wuzhuang Fenbao (Novel),20
Hana to Shinobi,19
I Regressed to My Ruined Family,19
I Picked up an Attribute,19
The Last Golden Child,19
Picking up Immortal Beauties: My Journey to The West,19
Pungwoon Inn,18
B.Reaction!,18
Chronicles of Ling Yan,18
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru ~Level Up wa Jinsei wo Kaeta~ (Light Novel)",18
Eden Game,18
Lock On!,18
Epic of Gilgamesh,18
Peerless Doctor In The City,18
Grand Général,18
Fantastic Tales,18
Martial Wild West,18
XO Sisters,17
The story of a low rank soldier becoming a monarch,17
"Regressor, Possessor, Reincarnator",17
I Became the Despised Granddaughter of the Powerful Martial Arts Family,17
Lozan,17
"100,000 Levels of Body Refining : All the dogs I raise are the Emperor",17
The Thief Princess: My Prince Can't Afford to Offend,17
CANDALA,17
Cross x Regalia,16
Mongrel,16
Dog Collar,16
K : Memory of Red,16
Invincible at the start,16
"Spare me, great lord",16
Millennium Spinning,16
"Ichiokunen Botan wo Renda shita Ore wa, Kizuitara Saikyou ni Natte ita ~Rakudai Kenshi no Gakuin Musou~ (Light Novel)",16
Ascension to Godhood by Slaying Demons,16
God of Game of Gods,16
The Strongest Cheat Player,16
Dororo Re:Verse,15
Reincarnated Escort Warrior,15
Warrior Guard,15
Lord of Nine Arts,15
"After Signing In For 30 Days, I Can Annihilate Stars",15
Special Agent Dragon Soul,15
Reborn as a dog,15
Zhi Zun Chong Sheng,15
Renaître de ses cendres,15
Ryuurouden,14
I’m Just An Immortal,14
After Release the Spyce,14
Armed Girl's Machiavellism,14
Strongest Leveling,14
Peach and the Book of the Last Days,14
Ao Shi Jiu Chong Tian,14
The Ravages of Time,14
Demon King Domination Pet: Genius Meng Bao belly black mother,14
Tale of Eun Aran,14
The Peerless Concubine,13
Wo Kao Da Shang Tudi Shengji,13
The Breaker 3: Eternal Force,13
Absolute Sword Sense,13
Winter Sovereign,13
Eleceed,13
Yuanlong,13
"That Inferior Knight, Actually Level 999",13
Samadhi,13
Cultivators in the City,13
Modern Day God,13
Urban Rebellion,13
Machspeed Starcars,12
Past Lives of the Thunder God,12
Urban Fairy King,12
"With A Sword Domain, I Can Become The Sword Saint",12
My Female Apprentices Are All Big Shots From the Future,12
City of Darkness,12
Valkyrie Profile,12
The Lady of Monarch,12
Ou no Kemono,12
The Great Deity,11
Bless,11
Cultivating The Supreme Dantian,11
Bamboo Blade B,11
My Apprentice: Game over Again!,11
To aru ossan no vrmmo katsudouki,11
Escort Warrior,11
The Undefeatable Swordsman,11
All Hail the Sect Leader,11
Chaotic Sword God (v2),11
Records of the Mystic Gardens,10
Dinghai Fusheng Records,10
The Sacred Lord of Scorching Summer,10
Baki-Dou,10
Phoenix in the Imperial Palace,10
Mu You Zhi,10
Heavenly Martial God,10
K : Days of Blue,10
King Killer Reborn,10
Crying Freeman,10
Coq De Combat,10
The trick of Eros,10
Emperor's Domination,10
Afro Samurai,10
Tale of Nezha,10
Return From the World of Immortals,10
Legend of Phoenix,10
The Strongest Ever,10
Guilty Axe,10
Son-in-Law Does Cheap Cultivation,9
Kaze no sho - Le livre du vent,9
Peerless Heavenly Emperor,9
Chronicles of the Demon Faction,9
Jigoro,9
Life and Death: The Awakening,9
My Apprentices are all Female Devils,9
La vie de l'Empereur Martial après l'isolement,9
Last Ranker - Be the last one,9
Magician from the another world,9
Les Chroniques Héroïques des Trois Continents,9
The Grandmaster of Demonic Cultivation,9
Ten Thousand Paths to Becoming a God,9
Demons and Strangers,9
World’s Greatest Senior Disciple,9
Training with the demon king,9
Flower Wizard,8
The Exorcism Record,8
Legend of Mir: Gold Armored Sword Dragon,8
FLAGS,8
My Husband is a White Snake,8
Possession,8
Return of the Youngest Grandmaster,8
Eumyangsa,8
All Heavenly Days,8
The top clan leader in history,8
The Tyrannical Lady Has a Cheat !,8
"After Ten Years of Chopping Wood, Immortals Begged To Become My Disciples",7
World Defying Dan God,7
Invincible Vilain,7
Kenjutsu Komachi,7
Yobidasareta Satsurikusha,7
I'm an Evil God,7
Ren Zha Fanpai Zijiu Xitong,7
Descent of the Patriarch,7
Is There a Problem If the Demon King Is a Goblin?!,7
An Unparalleled Martial Arts Spirit,7
Rebirth Of The Great God,7
The Celeste Professor (Novel),7
Fight Class 3,7
Karate Baka Isekai,7
Country of Red Moon,7
Eternal Emperor,7
The Most Powerful Loser,7
Godly Mobile Game,7
Eternal First God,6
"Immortal, Invincible",6
Oonoshouta 18 sai Honjitsu Kareshi ga Dekimashita,6
The Seal of the Mountains and Seas,6
Versus,6
Super Dragon Ball Heroes,6
The Mighty Warrior From a Mental Hospital,6
Baki Son of Ogre,6
Devil Wants To Hug,6
R.u.N,6
Yeon Lok Heun,6
Hitori no Shita : The Outcast,6
Nano Machine (Novel),6
Tsuyoshi,6
The Substitute Young Master is Not to be Messed With,6
Cultivation Through Science,6
Yankano!,5
Kimetsu no Aima!,5
Shigurui,5
Empress Hunt,5
Zombie Evolution,5
Akabane Honeko's Bodyguard,5
Heavenly Grand Archive’s Young Master,5
Accidentally Joined the Demon Cult,5
Supreme exorcist,5
Martial Art Successor,5
Douluo Dalu 5 Chongsheng Tangsan,5
Rurouni Kenshin: Meiji Kenkaku Romantan – Hokkaido-hen,5
Another emperor reborn,5
I am a Great God,5
Demonic Evolution,5
Be Heun,5
Nano Machine (Novel),5
The Return of the God Monarch (Novel),5
Treacherous Subject Saves the Country,5
Baki Gaiden-Kenjin,5
Hitpoint,5
Am i invincible,5
Hokuto no Ken - Raoh Gaiden,5
I am the immortal,4
Tang Yin,4
Ultimate Soldier,4
Le Taoïste suprême,4
Azure Legacy,4
Path of the Shaman,4
Devouring Realm,4
Ni hao!! Jinrou nu,4
Whamanga,4
Princess's Happily-ever-after Marriage,4
Wizard's Martial World,4
Feng Ni Tian Xia,4
Martial Streamer,4
Kaede Typhoon,4
History Of Three States,4
PRIDE OF BLADE,4
Bruce Of The Galaxy,4
JE DEVIENS IMMORTEL,4
Melody Drifting in the Rain,4
Miao Shou Xian Dan,4
Game Invades World,4
Nine Days of Martial Arts,4
God Tribe,4
Miao Shou Xian Dan,4
The Star of a Supreme Ruler,4
Godly Pet Has Opened Up for Me Again,4
Bestia,4
Smash it Girl,4
Mir's Legend - The Forgotten Ones,3
Moon Shadow Sword Emperor,3
The First Order,3
WHAT? the crown prince is pregnant!,3
KinnPorsche,3
Logging 10000 Years into the Future,3
Les 3 Royaumes,3
Boss in School,3
The Greatest Sword Hero Returns After 69420 Years,3
Shan Hai Ni Zhan,3
Enthusiasm,3
Chief of the novice village,3
Tenohira no Netsu wo,3
Heaven’s Devourer,3
Renka,3
Swordmaster's Youngest Son,3
Generation Wu,3
Vengeance of the Heavenly Demon,3
The Greatest in the World,3
Sanctuaires Oubliés,3
The Descendant Of The Spiritual Diety,3
Otherworldly Evil Monarch,3
Shabaou,3
Martial Artist Lee Gwak,3
Heavenly Solo Defender,3
The Peerless Sword God,3
Beginner's Test for Infinite Power,3
Fight Like a Girl,3
Legend Of The Northern Blade,3
Soaring Heavenly Dragon,3
One Punch Man Webcomic,3
Android Have No Blood,3
Specters : Karma,3
Shindorim,3
Savage beautly,3
The Husky and His White Cat Shizun,3
CHANGEMENT,2
Wistoria: Wand and Sword,2
Grappler Baki Remake,2
Supreme Godly King,2
Starting With Seven Stunning Senior Sisters,2
Beginner's Test for Infinite Power,2
Rebirth of the Urban Mad Immortal,2
TAL,2
Cultivation Chat Group,2
Future Break Point,2
First Class Servant,2
Baki Gaiden : Gaia &amp; Sikorsky,2
SSS-Class Suicide Hunter,2
The Return of the Prodigious Swordmaster,2
Immortal Reverence Dad,2
Hunter Academy’s Strongest Battle God,2
This Star,2
"From now on, I will be the father of the mage",2
Dark Mage,2
Demon in Mount Hua,2
I am a great gods,2
Mujina In To The Deep,2
Emperor-in-Law,2
Reborn As Sword God,2
Born To Be Rich,2
La voie céleste,2
Lethal Romance,2
Deception,2
I Shall Live As A Prince,2
Darkness and Death,2
Castle,2
War prisoner [Novel],2
I Just Want to Be Killed,2
I Plan To Become The Master Of A Stolen Family,2
I Want to Become a Heroic Swordswoman!,2
Dao Yin,2
The Story of Thorny Spear,2
Chaotic Sword God 2021,2
Le démon,2
From the lowest foot soldier to the king,2
Changan Fantasy,1
Records of the Swordsman Scholar,1
"Katainaka no Ossan, Kensei ni Naru - Tada no Inaka no Kenjutsu Shihan Datta no ni, Taisei shita Deshi-tachi ga Ore wo Hottekurenai ken",1
Gundaddy Immortal,1
Weak Teacher,1
Spirits Of The Sea,1
The Deer and the Cauldron,1
Legend Of Star General,1
Man vs Dog,1
CONQUEST OF DARKNESS,1
Kenshirou ni Yoroshiku,1
My Disciples Are All Big Villains,1
King of Ghosts,1
Bankara-san ga Tooru,1
God of War Agains The Sky,1
Yeolhyeol Gangho,1
Kurenai no Ansatsusha,1
Kinnikuman,1
Animalerie Stellaire,1
Heavenly Demon Bakery,1
World's Apocalypse Online,1
School Beauty's Personal Master,1
Cultivator From The Future,1
Ordeal,1
Deity Descension War,1
An Unparalleled Martial Arts Spirit,1
Spectral Regalia,1
Beholder of the Abyss,1
Imperial God Emperor,1
Tales of an Exorcist,1
Forty Milleniums Of Cultivation,1
"Die, dai",1
Get Life,1
Gangho Apocalypse,1
I Returned as an FFF-Class Witch Doctor,1
I Sealed Myself With 900 Million Techniques,1
"A mon retour, ma famille est en ruine",1
The Supreme Ruler of All Worlds,1
Duelant,1
Trigun - Rising,1
Eden's Zero,1
Kanata,1
Rakshasa Li San,1
Return Of Immortal Warlord,1
Man vs Dog,1
I Killed The Immortal,1
Survive on a deserted island with beautiful girls,1
Shenqi Huanjitan,1
Nikai Bongai Barabarujura,1
I Raised a Vampire in the Sect,1
Vagabond (Colored),1
Supreme Taoist,1
L'histoire de Gaïa (Baki),1
One Thousand Live Broadcast Big Local Tyrant,1
Demon Evolution,1
The Sword of Kaigen,1
Gang of school,1
Murim Possesses The Youngest Son,1
The God of Pro Wrestling,1
Above Myriads,1
Tonari no Ninja,1
The Legend of Genghis,1
Hail the King,1
Tiger Dragon Brothers,1
One Punch Man - Special Fan Chapter | Ryujin Edition,1
Imperfect Pervert,1
Super Vegeta Den,1
Neko Majin,1
Lozan,1
Hokuto no Ken &amp; Pocket Monsters - Pokémon Tougijou,1
Destronaut,1
Wind sword,1
Bodhisattva's Carry!,1
Souten no Koumori,1
Adabana,1
shoto is the celestial dragons,1
